value,date
13920.5,2010-05-08
14014.3,2010-05-09
14099.5,2010-05-10
14131.7,2010-05-11
14105.3,2010-05-12
14096.1,2010-05-15
14138.8,2010-05-16
14156.7,2010-05-18
14155.6,2010-05-19
14117.2,2010-05-22
14080.5,2010-05-23
14115.5,2010-05-24
14184.3,2010-05-25
14153.8,2010-05-26
14119.9,2010-05-29
14087.6,2010-05-30
14038.3,2010-05-31
14109.0,2010-06-01
14182.4,2010-06-02
14164.7,2010-06-06
14135.3,2010-06-07
14148.8,2010-06-08
14055.1,2010-06-09
14114.9,2010-06-12
14180.3,2010-06-13
14288.5,2010-06-14
14394.2,2010-06-15
14372.0,2010-06-16
14340.6,2010-06-19
14280.9,2010-06-20
14257.0,2010-06-21
14350.6,2010-06-22
14489.4,2010-06-23
14503.0,2010-06-27
14500.9,2010-06-28
14545.3,2010-06-29
14552.3,2010-06-30
14561.1,2010-07-03
14504.2,2010-07-04
14553.2,2010-07-05
14571.6,2010-07-06
14718.8,2010-07-07
14883.4,2010-07-11
14981.5,2010-07-12
15005.9,2010-07-13
15080.4,2010-07-14
15118.0,2010-07-17
15189.0,2010-07-18
15244.8,2010-07-19
15344.6,2010-07-20
15360.7,2010-07-21
15455.4,2010-07-24
15660.9,2010-07-25
15746.5,2010-07-26
15794.1,2010-07-28
15840.5,2010-07-31
15870.0,2010-08-01
16078.1,2010-08-02
16281.7,2010-08-03
16317.9,2010-08-04
16606.1,2010-08-07
16625.9,2010-08-08
16674.4,2010-08-09
16841.4,2010-08-10
16995.1,2010-08-11
16864.6,2010-08-14
16701.1,2010-08-15
16766.9,2010-08-16
16910.8,2010-08-17
17009.6,2010-08-18
16974.6,2010-08-21
16957.6,2010-08-22
17116.7,2010-08-23
17152.7,2010-08-24
17233.1,2010-08-25
17401.0,2010-08-28
17767.8,2010-08-29
17938.0,2010-08-30
17955.7,2010-08-31
18315.8,2010-09-04
18636.1,2010-09-05
18648.2,2010-09-06
18458.9,2010-09-07
18429.6,2010-09-08
18533.4,2010-09-12
18533.7,2010-09-13
18543.1,2010-09-14
18555.7,2010-09-15
18657.7,2010-09-18
18487.6,2010-09-19
18303.3,2010-09-20
18413.0,2010-09-21
18548.6,2010-09-22
18673.3,2010-09-25
18527.8,2010-09-26
18405.6,2010-09-27
18535.3,2010-09-28
18671.3,2010-09-29
18790.4,2010-10-02
18762.4,2010-10-03
18749.9,2010-10-05
18871.8,2010-10-06
18937.7,2010-10-09
18642.0,2010-10-10
18564.0,2010-10-11
18283.0,2010-10-12
17902.5,2010-10-13
17973.1,2010-10-16
18111.1,2010-10-17
18343.8,2010-10-18
18292.9,2010-10-19
18229.5,2010-10-20
18324.6,2010-10-23
18163.7,2010-10-24
18035.9,2010-10-25
18006.1,2010-10-26
17956.4,2010-10-27
18034.9,2010-10-30
18011.0,2010-10-31
17972.9,2010-11-01
17960.5,2010-11-02
17976.7,2010-11-03
18089.8,2010-11-06
18015.9,2010-11-07
17969.5,2010-11-08
18038.5,2010-11-09
18113.4,2010-11-10
18044.3,2010-11-13
18042.1,2010-11-14
18035.6,2010-11-15
18021.0,2010-11-16
18062.5,2010-11-20
18133.7,2010-11-21
18257.8,2010-11-22
18226.6,2010-11-23
18289.2,2010-11-24
18427.7,2010-11-27
18404.5,2010-11-28
18284.7,2010-11-29
18242.6,2010-11-30
18280.0,2010-12-01
18292.4,2010-12-04
18319.3,2010-12-05
18291.9,2010-12-06
18317.3,2010-12-07
18371.2,2010-12-08
18460.3,2010-12-11
18443.7,2010-12-12
18414.7,2010-12-13
18414.3,2010-12-14
18366.4,2010-12-18
18203.4,2010-12-19
18249.7,2010-12-20
18353.1,2010-12-21
18398.9,2010-12-22
18585.8,2010-12-25
18723.1,2010-12-26
18689.0,2010-12-27
18771.4,2010-12-28
18855.2,2010-12-29
18849.1,2011-01-01
18898.1,2011-01-02
19021.0,2011-01-03
19200.4,2011-01-04
19361.5,2011-01-05
19451.5,2011-01-08
19699.9,2011-01-09
19690.9,2011-01-10
19778.6,2011-01-11
19759.1,2011-01-12
19705.3,2011-01-15
19830.6,2011-01-16
19904.7,2011-01-17
19937.9,2011-01-18
20206.6,2011-01-19
20352.7,2011-01-22
20416.0,2011-01-23
20462.6,2011-01-24
20684.8,2011-01-26
20905.9,2011-01-29
20877.6,2011-01-30
20997.1,2011-01-31
21349.4,2011-02-01
21810.7,2011-02-05
21840.0,2011-02-06
21944.4,2011-02-07
21867.4,2011-02-08
21929.0,2011-02-09
22000.5,2011-02-12
22136.5,2011-02-13
22260.4,2011-02-14
22270.4,2011-02-15
22188.3,2011-02-16
22090.3,2011-02-19
21762.2,2011-02-20
21739.4,2011-02-22
21749.5,2011-02-23
21867.9,2011-02-26
21900.5,2011-02-27
21663.3,2011-02-28
21472.9,2011-03-01
21694.0,2011-03-02
21843.2,2011-03-05
21929.3,2011-03-06
21891.8,2011-03-07
22033.2,2011-03-08
22062.6,2011-03-09
21895.2,2011-03-12
22008.8,2011-03-13
22236.9,2011-03-14
22455.7,2011-03-15
22803.8,2011-03-16
23294.9,2011-03-19
23756.3,2011-03-26
24199.8,2011-03-27
24287.8,2011-03-28
24486.6,2011-03-29
24486.0,2011-03-30
24543.6,2011-04-03
25023.3,2011-04-04
25550.4,2011-04-05
25885.1,2011-04-06
26222.7,2011-04-09
26002.6,2011-04-10
26145.2,2011-04-11
26412.7,2011-04-12
26541.9,2011-04-13
26675.9,2011-04-16
26446.6,2011-04-17
26429.2,2011-04-18
26215.4,2011-04-19
26481.5,2011-04-20
26610.1,2011-04-23
26539.7,2011-04-24
26261.5,2011-04-25
26273.6,2011-04-26
25781.8,2011-04-27
25321.7,2011-04-30
24685.3,2011-05-01
25037.7,2011-05-02
25211.2,2011-05-03
25520.2,2011-05-04
25366.6,2011-05-08
25752.7,2011-05-09
26041.7,2011-05-10
26002.8,2011-05-11
26033.6,2011-05-14
25908.5,2011-05-15
25759.7,2011-05-16
25773.4,2011-05-17
25940.8,2011-05-18
26155.6,2011-05-21
26055.5,2011-05-22
26059.8,2011-05-23
25861.9,2011-05-24
25290.7,2011-05-25
25043.4,2011-05-28
24600.6,2011-05-29
24865.3,2011-05-30
25120.9,2011-05-31
25291.8,2011-06-06
25123.1,2011-06-07
25286.5,2011-06-08
25245.1,2011-06-11
25121.7,2011-06-12
25237.5,2011-06-13
25043.3,2011-06-14
24854.8,2011-06-15
25187.4,2011-06-18
25214.1,2011-06-19
25120.9,2011-06-20
25181.6,2011-06-21
25126.1,2011-06-22
25023.5,2011-06-25
24674.9,2011-06-26
24148.6,2011-06-27
24180.5,2011-06-28
24503.5,2011-06-29
24742.2,2011-07-02
24742.7,2011-07-03
24698.3,2011-07-04
24816.6,2011-07-05
24801.1,2011-07-06
24716.9,2011-07-09
24541.1,2011-07-10
24503.8,2011-07-11
24387.1,2011-07-12
24286.7,2011-07-13
24348.9,2011-07-16
24460.7,2011-07-18
24494.6,2011-07-19
24602.0,2011-07-20
24809.6,2011-07-23
25181.7,2011-07-24
25325.4,2011-07-25
25434.6,2011-07-26
25471.8,2011-07-27
25297.8,2011-07-30
25110.8,2011-07-31
25270.0,2011-08-01
25284.5,2011-08-02
25316.3,2011-08-03
25008.1,2011-08-06
24923.6,2011-08-07
24970.8,2011-08-08
24596.7,2011-08-09
24875.8,2011-08-10
24997.0,2011-08-13
25092.8,2011-08-14
25059.3,2011-08-15
25090.5,2011-08-16
25237.6,2011-08-17
25231.6,2011-08-20
25217.0,2011-08-21
25389.3,2011-08-23
25475.7,2011-08-24
25555.6,2011-08-27
25475.1,2011-08-28
25621.7,2011-08-29
25822.0,2011-08-30
26083.4,2011-09-03
26254.6,2011-09-04
26360.8,2011-09-05
26714.7,2011-09-06
26930.2,2011-09-07
27098.4,2011-09-10
27099.9,2011-09-11
27058.9,2011-09-12
26933.1,2011-09-13
26836.3,2011-09-14
26855.0,2011-09-17
26885.0,2011-09-18
26866.9,2011-09-19
26847.4,2011-09-20
26962.2,2011-09-21
26764.8,2011-09-25
26571.9,2011-09-26
26692.9,2011-09-27
26792.7,2011-09-28
26708.2,2011-10-01
26672.7,2011-10-02
26663.6,2011-10-03
26756.3,2011-10-04
26863.5,2011-10-05
26912.8,2011-10-08
26868.8,2011-10-09
26819.4,2011-10-10
26903.0,2011-10-11
26844.2,2011-10-12
26668.3,2011-10-15
26291.2,2011-10-16
26159.4,2011-10-17
26158.8,2011-10-18
26207.7,2011-10-19
26150.8,2011-10-22
26049.6,2011-10-23
25875.0,2011-10-24
25924.8,2011-10-25
25915.4,2011-10-26
25953.3,2011-10-29
25911.3,2011-10-30
25910.0,2011-10-31
25924.9,2011-11-01
26001.5,2011-11-02
25874.2,2011-11-05
25589.5,2011-11-06
25328.6,2011-11-08
25394.2,2011-11-09
25462.7,2011-11-12
25372.6,2011-11-13
25366.6,2011-11-14
25366.4,2011-11-16
25366.7,2011-11-19
25298.3,2011-11-20
25207.2,2011-11-21
