jdate,value,date
1389-06-27,18657.7,2010-09-18
1389-06-28,18487.6,2010-09-19
1389-06-29,18303.3,2010-09-20
1389-06-30,18413.0,2010-09-21
1389-06-31,18548.6,2010-09-22
1389-07-03,18673.3,2010-09-25
1389-07-04,18527.8,2010-09-26
1389-07-05,18405.6,2010-09-27
1389-07-06,18535.3,2010-09-28
1389-07-07,18671.3,2010-09-29
1389-07-10,18790.4,2010-10-02
1389-07-11,18762.4,2010-10-03
1389-07-13,18749.9,2010-10-05
1389-07-14,18871.8,2010-10-06
1389-07-17,18937.7,2010-10-09
1389-07-18,18642.0,2010-10-10
1389-07-19,18564.0,2010-10-11
1389-07-20,18283.0,2010-10-12
1389-07-21,17902.5,2010-10-13
1389-07-24,17973.1,2010-10-16
1389-07-25,18111.1,2010-10-17
1389-07-26,18343.8,2010-10-18
1389-07-27,18292.9,2010-10-19
1389-07-28,18229.5,2010-10-20
1389-08-01,18324.6,2010-10-23
1389-08-02,18163.7,2010-10-24
1389-08-03,18035.9,2010-10-25
1389-08-04,18006.1,2010-10-26
1389-08-05,17956.4,2010-10-27
1389-08-08,18034.9,2010-10-30
1389-08-09,18011.0,2010-10-31
1389-08-10,17972.9,2010-11-01
1389-08-11,17960.5,2010-11-02
1389-08-12,17976.7,2010-11-03
1389-08-15,18089.8,2010-11-06
1389-08-16,18015.9,2010-11-07
1389-08-17,17969.5,2010-11-08
1389-08-18,18038.5,2010-11-09
1389-08-19,18113.4,2010-11-10
1389-08-22,18044.3,2010-11-13
1389-08-23,18042.1,2010-11-14
1389-08-24,18035.6,2010-11-15
1389-08-25,18021.0,2010-11-16
1389-08-29,18062.5,2010-11-20
1389-08-30,18133.7,2010-11-21
1389-09-01,18257.8,2010-11-22
1389-09-02,18226.6,2010-11-23
1389-09-03,18289.2,2010-11-24
1389-09-06,18427.7,2010-11-27
1389-09-07,18404.5,2010-11-28
1389-09-08,18284.7,2010-11-29
1389-09-09,18242.6,2010-11-30
1389-09-10,18280.0,2010-12-01
1389-09-13,18292.4,2010-12-04
1389-09-14,18319.3,2010-12-05
1389-09-15,18291.9,2010-12-06
1389-09-16,18317.3,2010-12-07
1389-09-17,18371.2,2010-12-08
1389-09-20,18460.3,2010-12-11
1389-09-21,18443.7,2010-12-12
1389-09-22,18414.7,2010-12-13
1389-09-23,18414.3,2010-12-14
1389-09-27,18366.4,2010-12-18
1389-09-28,18203.4,2010-12-19
1389-09-29,18249.7,2010-12-20
1389-09-30,18353.1,2010-12-21
1389-10-01,18398.9,2010-12-22
1389-10-04,18585.8,2010-12-25
1389-10-05,18723.1,2010-12-26
1389-10-06,18689.0,2010-12-27
1389-10-07,18771.4,2010-12-28
1389-10-08,18855.2,2010-12-29
1389-10-11,18849.1,2011-01-01
1389-10-12,18898.1,2011-01-02
1389-10-13,19021.0,2011-01-03
1389-10-14,19200.4,2011-01-04
1389-10-15,19361.5,2011-01-05
1389-10-18,19451.5,2011-01-08
1389-10-19,19699.9,2011-01-09
1389-10-20,19690.9,2011-01-10
1389-10-21,19778.6,2011-01-11
1389-10-22,19759.1,2011-01-12
1389-10-25,19705.3,2011-01-15
1389-10-26,19830.6,2011-01-16
1389-10-27,19904.7,2011-01-17
1389-10-28,19937.9,2011-01-18
1389-10-29,20206.6,2011-01-19
1389-11-02,20352.7,2011-01-22
1389-11-03,20416.0,2011-01-23
1389-11-04,20462.6,2011-01-24
1389-11-06,20684.8,2011-01-26
1389-11-09,20905.9,2011-01-29
1389-11-10,20877.6,2011-01-30
1389-11-11,20997.1,2011-01-31
1389-11-12,21349.4,2011-02-01
1389-11-16,21810.7,2011-02-05
1389-11-17,21840.0,2011-02-06
1389-11-18,21944.4,2011-02-07
1389-11-19,21867.4,2011-02-08
1389-11-20,21929.0,2011-02-09
1389-11-23,22000.5,2011-02-12
1389-11-24,22136.5,2011-02-13
1389-11-25,22260.4,2011-02-14
1389-11-26,22270.4,2011-02-15
1389-11-27,22188.3,2011-02-16
1389-11-30,22090.3,2011-02-19
1389-12-01,21762.2,2011-02-20
1389-12-03,21739.4,2011-02-22
1389-12-04,21749.5,2011-02-23
1389-12-07,21867.9,2011-02-26
1389-12-08,21900.5,2011-02-27
1389-12-09,21663.3,2011-02-28
1389-12-10,21472.9,2011-03-01
1389-12-11,21694.0,2011-03-02
1389-12-14,21843.2,2011-03-05
1389-12-15,21929.3,2011-03-06
1389-12-16,21891.8,2011-03-07
1389-12-17,22033.2,2011-03-08
1389-12-18,22062.6,2011-03-09
1389-12-21,21895.2,2011-03-12
1389-12-22,22008.8,2011-03-13
1389-12-23,22236.9,2011-03-14
1389-12-24,22455.7,2011-03-15
1389-12-25,22803.8,2011-03-16
1389-12-28,23294.9,2011-03-19
1390-01-06,23756.3,2011-03-26
1390-01-07,24199.8,2011-03-27
1390-01-08,24287.8,2011-03-28
1390-01-09,24486.6,2011-03-29
1390-01-10,24486.0,2011-03-30
1390-01-14,24543.6,2011-04-03
1390-01-15,25023.3,2011-04-04
1390-01-16,25550.4,2011-04-05
1390-01-17,25885.1,2011-04-06
1390-01-20,26222.7,2011-04-09
1390-01-21,26002.6,2011-04-10
1390-01-22,26145.2,2011-04-11
1390-01-23,26412.7,2011-04-12
1390-01-24,26541.9,2011-04-13
1390-01-27,26675.9,2011-04-16
1390-01-28,26446.6,2011-04-17
1390-01-29,26429.2,2011-04-18
1390-01-30,26215.4,2011-04-19
1390-01-31,26481.5,2011-04-20
1390-02-03,26610.1,2011-04-23
1390-02-04,26539.7,2011-04-24
1390-02-05,26261.5,2011-04-25
1390-02-06,26273.6,2011-04-26
1390-02-07,25781.8,2011-04-27
1390-02-10,25321.7,2011-04-30
1390-02-11,24685.3,2011-05-01
1390-02-12,25037.7,2011-05-02
1390-02-13,25211.2,2011-05-03
1390-02-14,25520.2,2011-05-04
1390-02-18,25366.6,2011-05-08
1390-02-19,25752.7,2011-05-09
1390-02-20,26041.7,2011-05-10
1390-02-21,26002.8,2011-05-11
1390-02-24,26033.6,2011-05-14
1390-02-25,25908.5,2011-05-15
1390-02-26,25759.7,2011-05-16
1390-02-27,25773.4,2011-05-17
1390-02-28,25940.8,2011-05-18
1390-02-31,26155.6,2011-05-21
1390-03-01,26055.5,2011-05-22
1390-03-02,26059.8,2011-05-23
1390-03-03,25861.9,2011-05-24
1390-03-04,25290.7,2011-05-25
1390-03-07,25043.4,2011-05-28
1390-03-08,24600.6,2011-05-29
1390-03-09,24865.3,2011-05-30
