,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
40,20220620,1479,14,1565,19,26493035,23289875,29393940,20388970,308081876820,270316145960,341687208010,236710814770,11628.787597192999,11624.409929733816,11606.594967126273,11609.748543943122,-2900905.0
41,20220619,1391,13,1787,16,23646040,21722816,29633244,15735612,274648929780,252132771900,344039365780,182742335900,11615.007408428643,11609.912359915776,11606.818006468406,11613.297016982879,-5987204.0
42,20220618,1412,19,2103,18,23126825,37532064,39615628,21043261,268568555160,435974207320,460326284070,244216478410,11612.858884001587,11619.815393813775,11616.046677315695,11605.448338544107,-16488803.0
43,20220615,1731,20,1869,13,28030694,10733710,31322201,7442203,328562861480,125484498000,366489429330,87557930150,11721.538591944958,11700.628232671133,11690.692034720521,11765.055340468407,-3291507.0
44,20220614,1637,18,2081,13,28981218,37930020,49830101,17081137,342570099530,448291478000,588874789410,201986788120,11820.41760736212,11817.651933115689,11818.909613018923,11825.137174416433,-20848883.0
45,20220613,3836,21,2349,21,90444999,16413967,30610263,76248703,1068967499770,194510592570,364062427100,899415665240,11818.97851278654,11893.475959353895,11850.30971306327,11795.815926731239,59834736.0
46,20220612,2332,20,2166,15,55683341,15695200,29590625,41787916,637536548860,180180003020,338304812520,479411739360,11449.32285690257,11432.837681529201,11479.943104898313,11472.496962040414,26092716.0
47,20220611,1610,8,2401,17,15498533,45389579,37127942,23760170,174570436180,512730773220,418821475140,268479734260,11263.674838128229,11280.492604195513,11296.222272077033,11299.57126821904,-21629409.0
48,20220608,1535,12,1331,20,36938162,13510750,24519367,25929545,417092883480,152355343110,276641480300,292806746290,11291.652342636864,11282.570235194082,11276.601455137576,11292.398161633766,12418795.0
49,20220607,2585,17,1949,18,34494535,45077672,35016038,44556169,389061157940,508165032600,394720545240,502505645300,11278.921659329513,11272.564452894414,11273.098411115818,11278.026288570725,-521503.0
50,20220606,2076,21,2083,23,26047125,36286414,43702167,18631372,292964534400,409872793240,492517197220,210320130420,11247.480649015966,11269.857561525496,11295.48908415144,11288.493967057284,-17655042.0
51,20220531,2214,13,1652,13,23442710,5033272,21014128,7461854,275502781040,59197379280,246950357970,87749802350,11752.172894686664,11751.634803499817,11761.212046557388,11759.785483607693,2428582.0
52,20220530,2165,18,2033,22,19133859,37141956,29191183,27084632,224761121640,436624826800,342931124620,318454823820,11746.774220506171,11747.763858011509,11755.56900665113,11757.768162402945,-10057324.0
